Startup,Subvertical
TrulyMadly.com,Online dating platform connecting singles through mobile and web applications
InstaLively,Video streaming app for live and recorded interactive content experiences
Vserv,Mobile advertising and marketing solutions for brands and app developers
Intruo.com,Enterprise SaaS platform providing business process automation and analytics tools
Niffler,Fintech analytics and solutions for personalized financial management and investments
CustomFurnish.com,Custom furniture e-commerce platform allowing personalized home interior solutions
MapMyGenome,Genomics testing and personalized health insights for preventive healthcare decisions
Crowdfire (formerly Justunfollow),"Social media management tool for scheduling, analytics, and audience engagement"
Bite Club,Food delivery platform connecting local restaurants with online customers efficiently
Localbanya,Grocery delivery service enabling convenient online ordering and home delivery
Appedo,Application performance monitoring and analytics platform for IT teams and developers
Fitraq.com,Fitness and wellness tracking platform providing personalized health recommendations
ChargeBee,Subscription billing and recurring payment management software for businesses
Groupon India,Deals aggregator platform providing discounts and offers across various e-commerce sites
Process 9,Business process automation solutions for optimizing enterprise operations and workflows
MoonFrog Labs,Mobile and online gaming studio creating interactive entertainment experiences
Foodpanda,Food delivery platform with focus on restaurant partnerships and quick logistics
Paytm,"Digital payments platform enabling online transactions, wallet services, and UPI payments"
DiabetOmics,Diabetes management platform providing personalized health monitoring and data insights
Qyk,Logistics app optimizing last-mile delivery and supply chain operations
Daily Rounds,"Healthcare platform connecting doctors, patients, and medical resources seamlessly"
Orobind,Medical device company developing innovative healthcare and diagnostic equipment
Routofy,"Travel booking platform for flights, hotels, and personalized itineraries"
Digital Gorkha,"Digital marketing agency offering SEO, social media, and content strategy services"
NestAway,Rental housing platform providing verified properties for short-term and long-term stays
The Better India,News media platform delivering positive news stories across India and globally
Meru Cabs,Taxi service platform offering cab booking and ride-sharing solutions online
GolfLAN,Online gaming platform for interactive multiplayer and casual games
Drivestream,Live streaming platform for real-time video broadcasting and engagement
wWhere,Logistics and courier service optimizing shipment tracking and delivery times
GoJavas,Travel platform providing curated experiences and trip planning tools
Tripoto,"Animation and entertainment studio producing comics, animation, and digital content"
Graphic India,Home services platform connecting users with local service providers
Harness Handitouch,"Corporate solutions platform providing workflow, HR, and document management tools"
Lets Corp,Document management and collaboration software for enterprises and teams
CollateBox,"Used cars resale platform offering buying, selling, and inspection services"
Mahindra First Choice,"Entertainment center offering games, sports, and recreational activities"
Round One,Payment gateway platform enabling secure online transactions for merchants
RazorPay,"AI analytics platform for image recognition, vision AI, and business intelligence"
Mosambee,Furniture rental platform providing short-term and flexible home furnishing solutions
Furlenco,Health tech company offering telemedicine and remote consultation services
Cubito,E-commerce platform specializing in tea products and beverage subscriptions
Teabox,"HR tech platform enabling recruitment, talent management, and employee engagement"
Artoo,"Online marketplace for fashion, lifestyle, and customized product offerings"
Fxkart.com,Job marketplace connecting employers with suitable candidates efficiently
Rozgar Mela,"Hospitality booking platform for hotels, hostels, and unique stays"
OYO Rooms,Video-based platform providing educational and healthcare content services
Roposo.com,Medical devices company developing innovative solutions for health monitoring
Teewe,Energy solutions company providing sustainable and renewable energy products
ePoise,"EV charging platform enabling fast, accessible, and reliable electric vehicle charging"
Urjas,Dairy products and food delivery platform focused on organic and fresh options
Chargein,"Online fashion marketplace providing curated apparel, accessories, and lifestyle products"
Yogurt Labs,Space technology startup developing satellite and aerospace solutions
LimeRoad.com,Microfinance institution providing small loans to underserved populations
Team Indus,Payment solutions platform enabling merchants to accept multiple payment modes
Arohan Financial Services,Travel planning platform providing itinerary management and booking tools
BillDesk,"Networking solutions company offering cloud, enterprise, and WAN optimization services"
Triphobo,App marketing platform helping developers increase user acquisition and engagement
Aryaka,Food delivery and ordering platform connecting customers with local restaurants
Appsdaily,Bounce detection software for performance monitoring and website optimization
Faaya,Food products and healthy snacks manufacturing and distribution company
InstaBounce,Task management and productivity platform for teams and organizations
Chloroplast Foods,"Consulting services offering strategy, operations, and management solutions"
Dealwithus,Healthcare app providing personalized medical guidance and appointment scheduling
CleverSharks,"Personal finance platform offering budgeting, investments, and financial planning tools"
Leaf,Business analytics platform delivering insights and predictive models for enterprises
SmartPocket,"Healthcare services platform connecting patients to clinics, labs, and hospitals"
Yumist,"Social media platform enabling content creation, sharing, and engagement"
NowFloats,"Digital marketing platform providing advertising, SEO, and brand promotion services"
FirstCry,"E-learning platform providing online courses, certifications, and skill development"
HolaChef,"Career platform assisting with job search, recruitment, and onboarding processes"
Frsh.co.in,"Automobile platform providing vehicle buying, selling, and comparison services"
Manthan,Cloud kitchen and food delivery service providing multi-cuisine options
Kobster.com,Car trading and resale platform connecting buyers and sellers online
Culture Machine,"Retail tech solutions offering inventory, supply chain, and POS management"
Paytm,"Lending platform providing loans, credit, and financial services digitally"
Aisle.co,"Wireless solutions company providing connectivity, networking, and IoT devices"
FreeCharge,"Event management platform enabling online registrations, ticketing, and promotions"
NewsHunt,Job portal connecting candidates with recruiters and employers efficiently
MyNoticePeriod,"Travel platform providing curated trips, experiences, and bookings"
CarDekho.com,Healthcare services platform offering remote consultation and diagnostics
Faaso’s,"HR software enabling recruitment, performance management, and employee engagement"
CarTrade.com,Fashion e-commerce platform providing personalized clothing and accessory options
StoreKing,"Digital payments platform enabling transactions, wallets, and financial services"
Capital Float,News aggregator platform delivering personalized news and content across categories
Nimble Wireless,"Travel booking platform providing flights, hotels, and holiday packages"
Townscript,"Technology services company offering IT, consulting, and enterprise solutions"
FindYahan,E-commerce platform specializing in social commerce and marketplace solutions
Stayzilla,"Tech platform providing app development, analytics, and cloud solutions"
Practo,"Analytics software offering insights, dashboards, and predictive modeling tools"
CimplyFive,App development platform enabling mobile and web application creation
20Dresses,"Home interiors platform providing design, furniture, and renovation solutions"
Itzcash,"Travel booking platform offering itineraries, experiences, and hotel reservations"
NewsInShorts,"Airline platform providing flight booking, scheduling, and travel management"
iTraveller.com,"Real estate platform connecting buyers, sellers, and property agents"
NextGen,Handicraft marketplace connecting artisans with global consumers
Wooplr.com,Freelancer platform providing project-based work and remote opportunities
Springleap,"Tax consulting platform offering filing, compliance, and advisory services"
Klip.in,Grocery delivery platform providing online ordering and doorstep delivery
Renderlogy,"Food products brand focusing on healthy, organic, and ready-to-eat foods"
Appbase,"B2B marketplace connecting manufacturers, distributors, and retailers online"
HomeLane,Food delivery platform focusing on quick service and restaurant partnerships
Trip38,Grocery delivery service offering fresh produce and household essentials
Smartairtrip.com,Eyewear e-commerce platform providing prescription and fashion glasses online
NoBroker,Marketplace platform connecting buyers with local service providers
Caravan Craft Retail,"Local search platform providing business listings, reviews, and directions"
SquadRun,"Social media influencer platform for content, branding, and monetization"
Clonect Solutions,"Fitness platform connecting trainers, gyms, and users online"
TaxSutra,Local search and discovery platform providing verified business information
PepperTap,"Beauty e-commerce platform providing skincare, makeup, and personal care products"
Sattviko,"E-commerce marketplace offering electronics, fashion, and lifestyle products"
IndustryBuying,Data analytics platform providing insights and business intelligence solutions
FreshWorld,"Startup platform providing incubation, mentoring, and funding support"
TinyOwl,"Social media platform for content creation, sharing, and engagement"
Momoe,Peer-to-peer lending platform connecting borrowers and lenders directly
Grofers,"Childcare platform offering services, learning, and monitoring for kids"
LensKart,E-commerce platform selling lifestyle and fashion products online
VioletStreet,IoT analytics platform providing connected device insights and solutions
Lookup,"Real estate platform for property rentals, sales, and management services"
#Fame,Food delivery platform offering restaurant orders and doorstep delivery
Gympik,Sports platform providing activity booking and community engagement
Near.in,"Education platform offering online learning, assessments, and certifications"
Purplle.com,Media broadcasting company delivering content across digital and traditional channels
NumberMall,"E-learning platform providing skill development, courses, and certifications"
Tookitaki,"E-commerce platform selling lifestyle, fashion, and tech products online"
Frankly,Education platform offering personalized learning and interactive courses
Faircent,Social networking platform for professional and personal connections
Nurturey,Nonprofit organization supporting social entrepreneurship and community development
Bewakoof,Corporate solutions company providing software and business management services
Stridalyzer,Food delivery platform providing quick service and multiple cuisine options
Commonfloor,"E-learning platform offering online courses, assessments, and certifications"
Sokrati,"Analytics platform providing insights, automation, and business intelligence solutions"
YepMe,"Jewelry e-commerce platform providing engagement rings, fashion, and gold ornaments"
